
# --------------------------------------------------------------------------------------------------------
# Contents:
# Dutch soil profiles, BOFEK clustering and hydraulic properties.
#
# Source:
# Soil map of the Netherlands: https://service.pdok.nl/bzk/bro-bodemkaart/atom/bro-bodemkaart.xml
# BOFEK clustering, Staringreeks: https://www.wur.nl/nl/show/bodemfysische-eenhedenkaart-bofek2020.htm
#
# Date:
# 2025-04-17
# --------------------------------------------------------------------------------------------------------

soil_id,soil_unit,soil_name,soil_classification,soil_landuse,bofek_cluster,bofek_dominant,bofek_name,bofek_area,layer_number,layer_faohorizon,layer_ztop,layer_zbot,layer_staringclass,layer_staringclassname,layer_staringdescription,layer_staringlabel,layer_orgmat,layer_pclay,layer_psilt,layer_bdens,layer_ores,layer_osat,layer_alfa,layer_npar,layer_lexp,layer_ksatfit
4160,gHd30,Haarpodzolgronden; grof zand,,bos,3003,1,Grofzandige zandgronden I,38789.44514,1,Ah,0.0,0.08,105,B05,grof zand,grof zand,6.8,2,6,1.271,0.01,0.38088059,0.04280723,1.80780022,0.02422689,63.6504027
4160,gHd30,Haarpodzolgronden; grof zand,,bos,3003,1,Grofzandige zandgronden I,38789.44514,2,Eu,0.08,0.15,205,O05,grof zand,grof zand,2.3,2,6,1.489,0.01,0.3367005,0.03030449,2.88750186,0.07360004,17.41850374
4160,gHd30,Haarpodzolgronden; grof zand,,bos,3003,1,Grofzandige zandgronden I,38789.44514,3,Bhs,0.15,0.3,205,O05,grof zand,grof zand,4.7,2,6,1.397,0.01,0.3367005,0.03030449,2.88750186,0.07360004,17.41850374
4160,gHd30,Haarpodzolgronden; grof zand,,bos,3003,1,Grofzandige zandgronden I,38789.44514,4,BCy,0.3,0.6,205,O05,grof zand,grof zand,0.9,2,4,1.551,0.01,0.3367005,0.03030449,2.88750186,0.07360004,17.41850374
4160,gHd30,Haarpodzolgronden; grof zand,,bos,3003,1,Grofzandige zandgronden I,38789.44514,5,Cy,0.6,1.2,205,O05,grof zand,grof zand,0.3,2,4,1.578,0.01,0.3367005,0.03030449,2.88750186,0.07360004,17.41850374
4170,cHd21,Kamppodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,akkerbouw,3007,0,Zwak lemige zandgronden met cultuurdek,2762.203737,1,Aap,0.0,0.25,102,B02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,5.0,3,9,1.391,0.02,0.43387803,0.02164487,1.34877009,7.20207718,83.24163508
4170,cHd21,Kamppodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,akkerbouw,3007,0,Zwak lemige zandgronden met cultuurdek,2762.203737,2,Ahb,0.25,0.35,102,B02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,4.7,3,9,1.402,0.02,0.43387803,0.02164487,1.34877009,7.20207718,83.24163508
4170,cHd21,Kamppodzolgronden; leemarm en zwak lemig fijn zand,Podzolgronden,akkerbouw,3007,0,Zwak lemige zandgronden met cultuurdek,2762.203737,3,Bhs,0.35,0.5,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,1.7,3,9,1.595,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
10150,pZn23x,Gooreerdgronden; lemig fijn zand,,grasland,3021,0,Sterk lemige zandgronden III,3971.485683,2,Cg1,0.25,0.5,203,O03,sterk lemig zeer fijn tot matig fijn zand,st. lemig z.f.-m.f. zand,0.8,6,18,1.591,0.01,0.33981025,0.01724264,1.70339467,0.0001,12.36681012
10150,pZn23x,Gooreerdgronden; lemig fijn zand,,grasland,3021,0,Sterk lemige zandgronden III,3971.485683,3,Cg2,0.5,0.9,203,O03,sterk lemig zeer fijn tot matig fijn zand,st. lemig z.f.-m.f. zand,0.3,5,17,1.632,0.01,0.33981025,0.01724264,1.70339467,0.0001,12.36681012
