CLUSTER_BOFEK,CLUSTER_DOMINANT,SOILPROFILE_INDEX,SOILPROFILE_CODE,AREA,SOIL_GROUP,LAYER,LAYER_ZBOTTOM,LAYER_STARINGCLASS,STARING_NAME,ORES,OSAT,ALFA,NPAR,KSATFIT,LEXP
1001,0,1020,ohVb,11878.09122,1,1,8,17,B17,0.0,0.71862598,0.01906191,1.1366583,4.48373535,0.0001
1001,0,1020,ohVb,11878.09122,1,2,25,17,B17,0.0,0.71862598,0.01906191,1.1366583,4.48373535,0.0001
1001,0,1020,ohVb,11878.09122,1,3,35,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1001,0,1020,ohVb,11878.09122,1,4,70,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1001,0,1020,ohVb,11878.09122,1,5,120,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1001,0,1260,zVc,1312.180487,1,1,15,2,B02,0.02,0.43387803,0.02164487,1.34877009,83.24163508,7.20207718
1001,0,1260,zVc,1312.180487,1,2,40,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1001,0,1260,zVc,1312.180487,1,3,120,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1001,1,1050,hVc,18683.70445,1,1,15,17,B17,0.0,0.71862598,0.01906191,1.1366583,4.48373535,0.0001
1001,1,1050,hVc,18683.70445,1,2,30,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1001,1,1050,hVc,18683.70445,1,3,50,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1001,1,1050,hVc,18683.70445,1,4,120,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1002,0,1110,faVz,5310.601397,1,1,20,16,B16,0.01,0.78606073,0.02107196,1.27879843,12.35724606,-1.2209359
1002,0,1110,faVz,5310.601397,1,2,50,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1002,0,1110,faVz,5310.601397,1,3,70,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1002,0,1110,faVz,5310.601397,1,4,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
1002,0,1111,faVzt,1154.603019,1,1,20,16,B16,0.01,0.78606073,0.02107196,1.27879843,12.35724606,-1.2209359
1002,0,1111,faVzt,1154.603019,1,2,50,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1002,0,1111,faVzt,1154.603019,1,3,70,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1002,0,1111,faVzt,1154.603019,1,4,90,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
1002,0,1111,faVzt,1154.603019,1,5,120,32,O14,0.01,0.39387829,0.00328777,1.61657253,2.49598427,0.51401193
1002,0,1310,Vz,8449.906335,1,1,12,16,B16,0.01,0.78606073,0.02107196,1.27879843,12.35724606,-1.2209359
1002,0,1310,Vz,8449.906335,1,2,35,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1002,0,1310,Vz,8449.906335,1,3,85,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1002,0,1310,Vz,8449.906335,1,4,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
1002,1,1100,aVz,13742.20359,1,1,20,16,B16,0.01,0.78606073,0.02107196,1.27879843,12.35724606,-1.2209359
1002,1,1100,aVz,13742.20359,1,2,50,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1002,1,1100,aVz,13742.20359,1,3,70,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1002,1,1100,aVz,13742.20359,1,4,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
1003,1,1300,dVk,2968.056714,1,1,12,18,B18,0.0,0.76545233,0.0204683,1.15070881,13.14456155,0.0001
1003,1,1300,dVk,2968.056714,1,2,45,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1003,1,1300,dVk,2968.056714,1,3,70,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1003,1,1300,dVk,2968.056714,1,4,120,31,O13,0.01,0.573268,0.02785405,1.07995207,9.68929074,-6.09131057
1004,1,1060,hVk,3155.458227,1,1,20,17,B17,0.0,0.71862598,0.01906191,1.1366583,4.48373535,0.0001
1004,1,1060,hVk,3155.458227,1,2,40,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1004,1,1060,hVk,3155.458227,1,3,70,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1004,1,1060,hVk,3155.458227,1,4,120,30,O12,0.01,0.56070265,0.00881287,1.15812806,1.07972884,-3.17226476
1005,0,1255,zVz,117.8634325,1,1,25,4,B04,0.02,0.46192638,0.01488005,1.39684954,34.88427629,0.29453599
1005,0,1255,zVz,117.8634325,1,2,40,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1005,0,1255,zVz,117.8634325,1,3,75,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1005,0,1255,zVz,117.8634325,1,4,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
1005,1,1340,iVz,8298.973827,1,1,20,15,B15,0.01,0.52845807,0.02373064,1.28234728,87.45078892,-1.47756447
1005,1,1340,iVz,8298.973827,1,2,45,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1005,1,1340,iVz,8298.973827,1,3,70,35,O17,0.01,0.84863548,0.01192909,1.27153561,3.40200949,-1.24929996
1005,1,1340,iVz,8298.973827,1,4,85,21,O03,0.01,0.33981025,0.01724264,1.70339467,12.36681012,0.0001
1005,1,1340,iVz,8298.973827,1,5,120,20,O02,0.02,0.3870639,0.01608317,1.52441823,22.76175599,2.43966226
1006,0,1030,hVs,8279.842195,1,1,15,17,B17,0.0,0.71862598,0.01906191,1.1366583,4.48373535,0.0001
1006,0,1030,hVs,8279.842195,1,2,40,34,O16,0.0,0.88924579,0.00971073,1.36357644,1.46262444,-0.66464707
1006,0,1030,hVs,8279.842195,1,3,120,34,O16,0.0,0.88924579,0.00971073,1.36357644,1.46262444,-0.66464707
1006,0,1040,hVsc,4184.480613,1,1,15,17,B17,0.0,0.71862598,0.01906191,1.1366583,4.48373535,0.0001
1006,0,1040,hVsc,4184.480613,1,2,35,34,O16,0.0,0.88924579,0.00971073,1.36357644,1.46262444,-0.66464707
1006,0,1040,hVsc,4184.480613,1,3,120,34,O16,0.0,0.88924579,0.00971073,1.36357644,1.46262444,-0.66464707
1006,0,1282,Vs,1433.863277,1,1,10,16,B16,0.01,0.78606073,0.02107196,1.27879843,12.35724606,-1.2209359
1006,0,1282,Vs,1433.863277,1,2,35,34,O16,0.0,0.88924579,0.00971073,1.36357644,1.46262444,-0.66464707
1006,0,1282,Vs,1433.863277,1,3,120,34,O16,0.0,0.88924579,0.00971073,1.36357644,1.46262444,-0.66464707
1006,1,1281,Vs,19402.45372,1,1,10,18,B18,0.0,0.76545233,0.0204683,1.15070881,13.14456155,0.0001
1006,1,1281,Vs,19402.45372,1,2,40,34,O16,0.0,0.88924579,0.00971073,1.36357644,1.46262444,-0.66464707
