,Station,DD,MM,YYYY,RAD,Tmin,Tmax,HUM,WIND,RAIN,ETref,WET
0,283,1,1,2000,58,1.1,7.6000000000000005,96,2.5,1.4000000000000001,0.1,50.400000000000006
1,283,2,1,2000,124,3.1,7.9,97,3.3000000000000003,-0.1,0.2,0.0
2,283,3,1,2000,74,6.6000000000000005,8.5,92,5.6000000000000005,1.9000000000000001,0.1,91.2
3,283,4,1,2000,39,5.0,8.8,93,4.6000000000000005,13.5,0.1,232.8
4,283,5,1,2000,350,1.1,6.9,88,3.7,0.0,0.4,0.0
5,283,6,1,2000,232,4.6000000000000005,9.4,87,5.0,2.5,0.30000000000000004,67.2
6,283,7,1,2000,158,5.0,7.7,89,4.2,0.0,0.2,0.0
7,283,8,1,2000,86,2.2,7.0,89,4.3,0.4,0.1,16.8
8,283,9,1,2000,253,-2.8000000000000003,4.6000000000000005,99,1.1,0.0,0.30000000000000004,0.0
9,283,10,1,2000,128,-3.5,0.2,99,1.5,0.0,0.1,0.0
10,283,11,1,2000,322,-0.9,3.0,96,3.9000000000000004,0.0,0.30000000000000004,0.0
11,283,12,1,2000,354,-0.6000000000000001,2.9000000000000004,83,4.7,0.0,0.4,0.0
12,283,13,1,2000,126,0.1,2.5,81,3.1,0.0,0.1,0.0
13,283,14,1,2000,88,1.1,3.2,92,1.6,-0.1,0.1,0.0
14,283,15,1,2000,335,1.6,4.6000000000000005,85,2.5,-0.1,0.4,0.0
15,283,16,1,2000,140,1.6,6.4,96,3.0,0.4,0.2,21.6
16,283,17,1,2000,73,5.7,7.2,93,6.2,0.2,0.1,9.600000000000001
17,283,18,1,2000,145,4.1000000000000005,8.1,79,7.4,1.0,0.2,86.4
18,283,19,1,2000,153,-0.4,5.1000000000000005,84,3.5,-0.1,0.2,0.0
19,283,20,1,2000,115,1.3,5.6000000000000005,92,3.8000000000000003,2.0,0.1,100.80000000000001
20,283,21,1,2000,235,2.8000000000000003,6.800000000000001,85,4.9,1.2000000000000002,0.30000000000000004,38.400000000000006
21,283,22,1,2000,192,2.7,6.0,91,5.0,2.9000000000000004,0.2,81.60000000000001
22,283,23,1,2000,216,-6.0,3.9000000000000004,82,3.3000000000000003,0.7000000000000001,0.2,45.6
23,283,24,1,2000,574,-8.4,-0.6000000000000001,77,1.3,0.0,0.5,0.0
24,283,25,1,2000,476,-4.5,3.0,75,2.5,0.0,0.5,0.0
25,283,26,1,2000,173,0.1,3.4000000000000004,89,4.0,0.1,0.2,2.4000000000000004
26,283,27,1,2000,69,-0.6000000000000001,3.0,83,5.2,0.0,0.1,0.0
27,283,28,1,2000,115,-1.7000000000000002,4.5,82,6.2,0.1,0.1,12.0
28,283,29,1,2000,54,4.2,10.700000000000001,88,9.8,17.8,0.1,345.6
29,283,30,1,2000,182,6.0,10.5,81,6.7,2.4000000000000004,0.30000000000000004,72.0
30,283,31,1,2000,163,8.3,10.8,86,7.7,1.0,0.2,45.6
31,283,1,2,2000,289,7.5,10.100000000000001,82,6.300000000000001,0.8,0.4,19.200000000000003
32,283,2,2,2000,342,3.9000000000000004,8.3,88,4.9,6.5,0.5,146.4
33,283,3,2,2000,438,2.6,9.1,85,4.0,-0.1,0.6000000000000001,0.0
34,283,4,2,2000,89,3.3000000000000003,8.9,91,6.9,5.7,0.1,84.0
35,283,5,2,2000,542,5.800000000000001,10.700000000000001,76,4.800000000000001,0.0,0.8,0.0
36,283,6,2,2000,230,5.1000000000000005,8.8,79,4.0,0.30000000000000004,0.30000000000000004,14.400000000000002
37,283,7,2,2000,427,6.300000000000001,9.0,86,7.0,3.9000000000000004,0.6000000000000001,136.8
38,283,8,2,2000,119,4.9,11.4,79,7.5,6.1000000000000005,0.2,103.19999999999999
39,283,9,2,2000,263,3.1,7.9,76,6.0,1.1,0.30000000000000004,36.0
40,283,10,2,2000,370,2.7,8.6,81,6.0,7.800000000000001,0.5,132.0
41,283,11,2,2000,769,0.30000000000000004,8.0,83,3.6,0.0,0.9,0.0
42,283,12,2,2000,427,1.2000000000000002,7.300000000000001,84,5.800000000000001,5.2,0.5,88.80000000000001
43,283,13,2,2000,540,0.5,8.1,82,4.800000000000001,0.2,0.7000000000000001,14.400000000000002
44,283,14,2,2000,599,-1.8,7.0,89,3.5,2.8000000000000003,0.7000000000000001,74.4
45,283,15,2,2000,471,4.7,9.4,84,3.5,0.1,0.6000000000000001,2.4000000000000004
46,283,16,2,2000,522,0.1,5.2,85,5.0,9.600000000000001,0.6000000000000001,182.4
47,283,17,2,2000,327,0.4,5.0,92,4.0,5.4,0.4,103.19999999999999
48,283,18,2,2000,132,0.4,6.5,92,4.4,6.1000000000000005,0.2,187.20000000000002
49,283,19,2,2000,195,1.6,5.5,91,5.2,4.9,0.2,139.20000000000002
50,283,20,2,2000,834,-2.6,7.0,82,3.0,0.0,0.9,0.0
51,283,21,2,2000,632,-4.800000000000001,4.0,91,2.0,0.1,0.7000000000000001,7.200000000000001
52,283,22,2,2000,553,-1.5,6.6000000000000005,91,3.0,0.1,0.7000000000000001,7.200000000000001
53,283,23,2,2000,841,-1.3,8.5,86,2.3000000000000003,0.0,1.0,0.0
54,283,24,2,2000,339,3.5,9.700000000000001,83,4.3,8.0,0.5,184.8
55,283,25,2,2000,745,0.9,8.5,84,3.5,16.2,0.9,158.4
56,283,26,2,2000,951,0.0,8.3,80,2.5,0.0,1.1,0.0
57,283,27,2,2000,924,-0.2,11.3,71,5.0,0.0,1.2000000000000002,0.0
58,283,28,2,2000,165,4.800000000000001,12.700000000000001,80,6.7,4.0,0.2,98.4
59,283,29,2,2000,595,4.0,8.8,83,6.800000000000001,6.800000000000001,0.8,139.20000000000002
60,283,1,3,2000,679,2.3000000000000003,7.9,85,4.7,2.7,0.9,43.2
61,283,2,3,2000,526,0.4,7.0,85,6.4,4.7,0.6000000000000001,165.60000000000002
62,283,3,3,2000,451,2.9000000000000004,9.0,83,7.1000000000000005,13.600000000000001,0.6000000000000001,172.8
63,283,4,3,2000,797,-2.0,3.8000000000000003,93,4.800000000000001,4.2,0.9,146.4
64,283,5,3,2000,673,-3.2,5.4,91,3.3000000000000003,1.5,0.8,12.0
65,283,6,3,2000,528,2.5,8.1,78,6.2,0.0,0.7000000000000001,0.0
66,283,7,3,2000,435,6.800000000000001,12.0,88,7.9,2.8000000000000003,0.6000000000000001,127.20000000000002
67,283,8,3,2000,93,8.9,12.200000000000001,93,7.9,10.3,0.1,158.4
68,283,9,3,2000,262,5.5,12.700000000000001,85,7.4,5.4,0.4,62.400000000000006
69,283,10,3,2000,880,0.8,9.200000000000001,82,3.2,2.8000000000000003,1.1,100.80000000000001
70,283,11,3,2000,509,6.5,10.700000000000001,86,6.300000000000001,1.5,0.7000000000000001,69.60000000000001
71,283,12,3,2000,711,5.7,9.8,83,2.3000000000000003,0.0,1.0,0.0
72,283,13,3,2000,739,5.0,11.200000000000001,89,3.9000000000000004,0.5,1.0,19.200000000000003
73,283,14,3,2000,191,2.6,10.0,89,5.800000000000001,5.6000000000000005,0.30000000000000004,172.8
74,283,15,3,2000,930,0.5,7.4,81,5.2,2.1,1.2000000000000002,146.4
75,283,16,3,2000,228,6.800000000000001,8.700000000000001,91,5.7,-0.1,0.30000000000000004,0.0
76,283,17,3,2000,290,6.6000000000000005,10.0,87,5.1000000000000005,0.1,0.4,9.600000000000001
77,283,18,3,2000,362,1.1,7.6000000000000005,91,3.8000000000000003,1.8,0.5,84.0
78,283,19,3,2000,1032,0.8,8.5,87,2.8000000000000003,-0.1,1.3,0.0
79,283,20,3,2000,898,-1.0,8.6,89,0.9,0.0,1.1,0.0
80,283,21,3,2000,560,-0.1,9.600000000000001,82,1.0,0.0,0.7000000000000001,0.0
81,283,22,3,2000,1471,-2.0,16.2,81,1.0,0.0,2.0,0.0
82,283,23,3,2000,1336,-0.6000000000000001,13.600000000000001,83,2.0,0.0,1.8,0.0
83,283,24,3,2000,258,6.0,12.0,90,2.3000000000000003,6.7,0.4,148.8
84,283,25,3,2000,800,5.9,13.3,90,2.7,3.1,1.1,69.60000000000001
85,283,26,3,2000,1102,3.6,10.700000000000001,84,2.8000000000000003,1.7000000000000002,1.5,91.2
86,283,27,3,2000,607,1.9000000000000001,9.600000000000001,88,3.8000000000000003,2.2,0.8,60.0
87,283,28,3,2000,187,1.2000000000000002,4.2,91,4.5,0.7000000000000001,0.2,60.0
88,283,29,3,2000,374,4.2,7.1000000000000005,89,5.6000000000000005,-0.1,0.5,0.0
89,283,30,3,2000,218,5.1000000000000005,7.300000000000001,88,4.0,-0.1,0.30000000000000004,0.0
90,283,31,3,2000,504,4.1000000000000005,7.4,88,1.1,0.0,0.7000000000000001,0.0
91,283,1,4,2000,928,1.4000000000000001,10.200000000000001,89,2.0,0.4,1.2000000000000002,36.0
92,283,2,4,2000,1247,0.8,14.0,82,2.8000000000000003,-0.1,1.7000000000000002,0.0
