# Measured: Drainage (cm)
# Location: Andelst
# Reference: Smelt et al
date,value,remark
1998-01-06,0.08196,SumDRDCD1
1998-01-07,0.24895,SumDRDCD1
1998-01-08,0.1831,SumDRDCD1
1998-01-09,0.0397,SumDRDCD1
1998-01-10,0.01149,SumDRDCD1
1998-03-06,0.699,SumDRDCD1
1998-03-07,2.04119,SumDRDCD1
1998-03-08,0.56399,SumDRDCD1
1998-03-09,0.02081,SumDRDCD1
1998-09-15,0.46542,SumDRDCD1
1998-09-16,0.18035,SumDRDCD1
1998-09-17,0.28788,SumDRDCD1
1998-09-18,0.03244,SumDRDCD1
1998-10-08,0.14518,SumDRDCD1
1998-10-09,0.00139,SumDRDCD1
1998-10-10,0.11411,SumDRDCD1
1998-10-11,0.02853,SumDRDCD1
1998-10-12,0.1054,SumDRDCD1
1998-10-13,0.03166,SumDRDCD1
1998-10-14,0.50197,SumDRDCD1
1998-10-15,0.21972,SumDRDCD1
1998-10-16,0.00805,SumDRDCD1
1998-10-23,0.09463,SumDRDCD1
1998-10-24,0.3137,SumDRDCD1
1998-10-25,0.73453,SumDRDCD1
1998-10-26,0.06354,SumDRDCD1
1998-10-27,0.421,SumDRDCD1
1998-10-28,2.24354,SumDRDCD1
1998-10-29,2.17177,SumDRDCD1
1998-10-30,1.56323,SumDRDCD1
1998-10-31,1.06218,SumDRDCD1
1998-11-01,2.45126,SumDRDCD1
1998-11-02,2.02788,SumDRDCD1
1998-11-03,1.35331,SumDRDCD1
1998-11-04,0.74334,SumDRDCD1
1998-11-05,0.51568,SumDRDCD1
1998-11-06,0.7227,SumDRDCD1
1998-11-07,0.42248,SumDRDCD1
1998-11-08,0.65051,SumDRDCD1
1998-11-09,1.52028,SumDRDCD1
1998-11-10,0.87533,SumDRDCD1
1998-11-11,0.46948,SumDRDCD1
1998-11-12,0.2769,SumDRDCD1
1998-11-13,0.1662,SumDRDCD1
1998-11-14,0.57331,SumDRDCD1
1998-11-15,0.35292,SumDRDCD1
1998-11-16,0.26262,SumDRDCD1
1998-11-17,0.12366,SumDRDCD1
1998-11-18,0.09594,SumDRDCD1
1998-11-19,0.06047,SumDRDCD1
1998-11-20,0.02814,SumDRDCD1
1998-11-26,0.00085,SumDRDCD1
1998-11-27,0.03809,SumDRDCD1
1998-12-13,0.20477,SumDRDCD1
1998-12-14,0.00032,SumDRDCD1
1998-12-15,0.00172,SumDRDCD1
1998-12-16,0.31255,SumDRDCD1
1998-12-17,0.03782,SumDRDCD1
1998-12-18,0.01682,SumDRDCD1
1998-12-19,0.15751,SumDRDCD1
1998-12-20,0.33537,SumDRDCD1
1998-12-21,0.05155,SumDRDCD1
1998-12-22,0.00753,SumDRDCD1
1998-12-26,0.38455,SumDRDCD1
1998-12-27,0.04868,SumDRDCD1
1998-12-28,0.29553,SumDRDCD1
1998-12-29,0.12821,SumDRDCD1
1998-12-30,0.0076,SumDRDCD1
1999-01-03,0.1539,SumDRDCD1
1999-01-04,0.27826,SumDRDCD1
1999-01-05,0.08692,SumDRDCD1
1999-01-06,0.01591,SumDRDCD1
1999-01-08,0.00151,SumDRDCD1
1999-01-09,0.02771,SumDRDCD1
1999-01-13,0.0023,SumDRDCD1
1999-01-14,0.27833,SumDRDCD1
1999-01-15,0.11026,SumDRDCD1
1999-01-16,0.23225,SumDRDCD1
1999-01-17,0.40882,SumDRDCD1
1999-01-18,0.02576,SumDRDCD1
1999-01-19,0.00015,SumDRDCD1
1999-01-28,0.0683,SumDRDCD1
1999-01-29,0.0098,SumDRDCD1
1999-02-16,0.16579,SumDRDCD1
1999-02-17,0.01173,SumDRDCD1
1999-02-19,0.00229,SumDRDCD1
1999-02-20,0.0071,SumDRDCD1
1999-02-21,0.0365,SumDRDCD1
1999-02-22,0.34662,SumDRDCD1
1999-02-23,0.5086,SumDRDCD1
1999-02-24,0.09947,SumDRDCD1
1999-02-25,0.04045,SumDRDCD1
1999-02-26,0.03732,SumDRDCD1
1999-02-27,0.03217,SumDRDCD1
1999-02-28,0.02063,SumDRDCD1
1999-03-01,0.67929,SumDRDCD1
1999-03-02,1.27335,SumDRDCD1
1999-03-03,0.88093,SumDRDCD1
1999-03-04,0.31871,SumDRDCD1
1999-03-05,0.17272,SumDRDCD1
1999-03-06,0.08758,SumDRDCD1
1999-03-07,0.04553,SumDRDCD1
1999-03-08,0.1321,SumDRDCD1
1999-03-09,0.28353,SumDRDCD1
1999-03-10,0.27805,SumDRDCD1
1999-03-11,0.23509,SumDRDCD1
1999-03-12,0.06156,SumDRDCD1
1999-03-13,0.02192,SumDRDCD1
1999-03-14,0.00625,SumDRDCD1
1998-01-06,0.06437,SumDRDCD2
1998-01-12,0.00086,SumDRDCD2
1998-01-13,0.00088,SumDRDCD2
1998-01-20,0.00317,SumDRDCD2
1998-03-06,0.09336,SumDRDCD2
1998-03-08,0.41337,SumDRDCD2
1998-03-09,0.20215,SumDRDCD2
1998-03-10,0.14789,SumDRDCD2
1998-03-11,0.13444,SumDRDCD2
1998-03-12,0.07397,SumDRDCD2
1998-03-13,0.06332,SumDRDCD2
1998-04-26,0.00866,SumDRDCD2
1998-04-27,0.00891,SumDRDCD2
1998-04-28,0.02379,SumDRDCD2
1998-09-03,0.4472,SumDRDCD2
1998-09-04,0.02969,SumDRDCD2
1998-09-05,0.01942,SumDRDCD2
1998-09-06,0.00164,SumDRDCD2
1998-09-14,0.77424,SumDRDCD2
1998-09-15,2.07661,SumDRDCD2
1998-09-16,0.26214,SumDRDCD2
1998-09-17,0.42428,SumDRDCD2
1998-09-18,0.1597,SumDRDCD2
1998-09-19,0.11744,SumDRDCD2
1998-09-20,0.0966,SumDRDCD2
1998-09-21,0.05787,SumDRDCD2
1998-09-22,0.02654,SumDRDCD2
1998-09-23,0.01235,SumDRDCD2
1998-09-24,0.00409,SumDRDCD2
1998-09-25,0.0003,SumDRDCD2
1998-09-26,0.0006,SumDRDCD2
1998-10-08,0.23502,SumDRDCD2
1998-10-09,0.02737,SumDRDCD2
1998-10-10,0.15003,SumDRDCD2
1998-10-11,0.0712,SumDRDCD2
1998-10-12,0.13184,SumDRDCD2
1998-10-13,0.06839,SumDRDCD2
1998-10-14,0.64,SumDRDCD2
1998-10-15,0.25732,SumDRDCD2
1998-10-16,0.09124,SumDRDCD2
1998-10-17,0.06713,SumDRDCD2
1998-10-18,0.0022,SumDRDCD2
1998-10-21,0.00754,SumDRDCD2
1998-10-22,0.01912,SumDRDCD2
1998-10-23,0.20003,SumDRDCD2
1998-10-24,0.40418,SumDRDCD2
1998-10-25,0.77221,SumDRDCD2
1998-10-26,0.10292,SumDRDCD2
1998-10-27,0.5358,SumDRDCD2
1998-10-28,3.02205,SumDRDCD2
1998-10-29,2.23938,SumDRDCD2
1998-10-30,1.74518,SumDRDCD2
1998-10-31,1.20091,SumDRDCD2
1998-11-01,3.38048,SumDRDCD2
1998-11-02,2.22176,SumDRDCD2
1998-11-03,1.74749,SumDRDCD2
1998-11-04,1.00595,SumDRDCD2
1998-11-05,0.7361,SumDRDCD2
1998-11-06,0.98062,SumDRDCD2
1998-11-07,0.58943,SumDRDCD2
1998-11-08,0.86249,SumDRDCD2
1998-11-09,2.06058,SumDRDCD2
1998-11-10,1.17805,SumDRDCD2
1998-11-11,0.64474,SumDRDCD2
1998-11-12,0.38587,SumDRDCD2
1998-11-13,0.27082,SumDRDCD2
1998-11-14,0.69652,SumDRDCD2
1998-11-15,0.48252,SumDRDCD2
1998-11-16,0.35265,SumDRDCD2
1998-11-17,0.19589,SumDRDCD2
1998-11-18,0.14044,SumDRDCD2
1998-11-19,0.1004,SumDRDCD2
1998-11-20,0.0719,SumDRDCD2
1998-11-21,0.04905,SumDRDCD2
1998-11-22,0.0425,SumDRDCD2
1998-11-23,0.02881,SumDRDCD2
1998-11-24,0.01748,SumDRDCD2
1998-11-25,0.00321,SumDRDCD2
1998-11-26,0.00887,SumDRDCD2
1998-11-27,0.10181,SumDRDCD2
1998-11-28,0.00913,SumDRDCD2
1998-12-12,0.03093,SumDRDCD2
1998-12-13,0.31859,SumDRDCD2
1998-12-14,0.01872,SumDRDCD2
1998-12-15,0.01538,SumDRDCD2
1998-12-16,0.35161,SumDRDCD2
1998-12-17,0.06754,SumDRDCD2
1998-12-18,0.04764,SumDRDCD2
1998-12-19,0.22731,SumDRDCD2
1998-12-20,0.31055,SumDRDCD2
1998-12-21,0.05696,SumDRDCD2
1998-12-22,0.03373,SumDRDCD2
1998-12-23,0.03148,SumDRDCD2
1998-12-24,0.01708,SumDRDCD2
1998-12-25,0.03161,SumDRDCD2
1998-12-26,0.48006,SumDRDCD2
1998-12-27,0.14419,SumDRDCD2
1998-12-28,0.3829,SumDRDCD2
1998-12-29,0.12975,SumDRDCD2
1998-12-30,0.05923,SumDRDCD2
1998-12-31,0.02939,SumDRDCD2
1999-01-01,0.00701,SumDRDCD2
1999-01-03,0.21495,SumDRDCD2
1999-01-04,0.41968,SumDRDCD2
1999-01-05,0.25936,SumDRDCD2
1999-01-06,0.10832,SumDRDCD2
1999-01-07,0.03092,SumDRDCD2
1999-01-08,0.0407,SumDRDCD2
1999-01-09,0.03733,SumDRDCD2
1999-01-10,0.00585,SumDRDCD2
1999-01-13,0.01557,SumDRDCD2
1999-01-14,0.28225,SumDRDCD2
1999-01-15,0.15652,SumDRDCD2
1999-01-16,0.3426,SumDRDCD2
1999-01-17,0.413,SumDRDCD2
1999-01-18,0.06483,SumDRDCD2
1999-01-19,0.06903,SumDRDCD2
1999-01-20,0.05907,SumDRDCD2
1999-01-21,0.0142,SumDRDCD2
1999-01-25,0.00659,SumDRDCD2
1999-01-28,0.03771,SumDRDCD2
1999-01-29,0.00056,SumDRDCD2
1999-02-16,0.0547,SumDRDCD2
1999-02-17,0.0019,SumDRDCD2
1999-02-19,0.01405,SumDRDCD2
1999-02-20,0.00931,SumDRDCD2
1999-02-21,0.02645,SumDRDCD2
1999-02-22,0.20406,SumDRDCD2
1999-02-23,0.30241,SumDRDCD2
1999-02-24,0.05359,SumDRDCD2
1999-02-25,0.03281,SumDRDCD2
1999-02-26,0.05354,SumDRDCD2
1999-02-27,0.04609,SumDRDCD2
1999-02-28,0.05314,SumDRDCD2
1999-03-01,0.81054,SumDRDCD2
1999-03-02,1.56582,SumDRDCD2
1999-03-03,0.97599,SumDRDCD2
1999-03-04,0.29953,SumDRDCD2
1999-03-05,0.15855,SumDRDCD2
1999-03-06,0.0737,SumDRDCD2
1999-03-07,0.04226,SumDRDCD2
1999-03-08,0.11929,SumDRDCD2
1999-03-09,0.20415,SumDRDCD2
1999-03-10,0.19998,SumDRDCD2
1999-03-11,0.14733,SumDRDCD2
1999-03-12,0.16373,SumDRDCD2
1999-03-13,0.27078,SumDRDCD2
1999-03-14,0.1104,SumDRDCD2
1999-03-15,0.09029,SumDRDCD2
1999-03-16,0.02658,SumDRDCD2
1999-03-27,0.00017,SumDRDCD2
1999-03-28,0.00132,SumDRDCD2
1999-03-29,0.00972,SumDRDCD2
1999-03-30,0.02036,SumDRDCD2
1999-03-31,0.03433,SumDRDCD2
1999-04-01,0.02897,SumDRDCD2
1999-04-02,0.1097,SumDRDCD2
1999-04-03,0.00347,SumDRDCD2
