# Measured: Groundwaterlevel (cm + MSL)
# Location: Andelst
# Reference: Smelt et al
date,value
1998-01-08,-74
1998-01-21,-81
1998-01-22,-82
1998-02-05,-108
1998-02-18,-140
1998-03-03,-152
1998-03-07,-50
1998-03-10,-79
1998-03-17,-82
1998-03-24,-97
1998-03-30,-109
1998-04-17,-89
1998-04-24,-90
1998-04-29,-81
1998-05-12,-101
1998-05-19,-124
1998-05-29,-141
1998-06-09,-128
1998-06-15,-120
1998-06-23,-116
1998-07-03,-137
1998-07-16,-147
1998-08-10,-167
1998-08-14,-175
1998-09-07,-111
1998-09-21,-80
1998-10-06,-114
1998-10-20,-84
1998-12-18,-77
1999-01-05,-76
1999-01-28,-76
1999-02-03,-80
1999-02-25,-76
1999-03-04,-71
1999-03-18,-78
1999-04-06,-83
1999-04-20,-78
1999-05-03,-83
1999-05-07,-81
