Station,DD,MM,YYYY,Rad,Tmin,Tmax,Hum,Wind,Rain,ETref,Wet
'260',01,01,1993,3960.0,-8.5,-0.4,0.384606,1.5,0.000,0.4,0.000
'260',02,01,1993,4030.0,-8.8,0.4,0.295401,3.6,0.000,0.4,0.000
'260',03,01,1993,3710.0,-10.3,-3.3,0.272566,3.1,0.000,0.3,0.000
'260',04,01,1993,1880.0,-9.6,-1.9,0.308642,3.6,0.000,0.2,0.000
'260',05,01,1993,740.0,-1.9,5.4,0.514158,5.1,9.100,0.1,0.413
'260',06,01,1993,450.0,5.3,9.6,1.019182,5.7,13.400,0.1,0.446
'260',07,01,1993,2250.0,0.2,9.4,0.864218,3.1,1.200,0.3,0.100
'260',08,01,1993,3380.0,1.3,9.7,0.727943,4.1,2.400,0.4,0.096
'260',09,01,1993,670.0,0.7,11.2,0.870612,6.2,3.200,0.1,0.146
'260',10,01,1993,520.0,8.1,12.4,1.108842,8.2,2.500,0.1,0.213
'260',11,01,1993,860.0,6.6,11.7,0.954249,8.2,3.500,0.1,0.092
'260',12,01,1993,3510.0,3.3,7.8,0.672116,6.7,3.400,0.5,0.196
'260',13,01,1993,1450.0,4.1,15.1,0.989751,7.7,2.300,0.2,0.163
'260',14,01,1993,3990.0,4.1,8.6,0.682916,5.7,0.000,0.5,0.000
'260',15,01,1993,1830.0,3.6,12.5,0.874310,6.7,0.200,0.3,0.017
'260',16,01,1993,1300.0,9.4,14.1,1.124486,7.2,0.000,0.2,0.000
'260',17,01,1993,2030.0,5.1,11.5,0.821133,5.7,0.500,0.3,0.029
'260',18,01,1993,4610.0,3.6,8.4,0.698355,4.1,0.000,0.6,0.000
'260',19,01,1993,1420.0,3.7,9.3,0.756862,5.1,0.900,0.2,0.071
'260',20,01,1993,480.0,8.7,11.0,1.117594,7.7,16.100,0.1,0.767
'260',21,01,1993,2850.0,7.4,12.3,1.022425,7.7,3.200,0.4,0.121
'260',22,01,1993,660.0,6.4,12.2,0.873366,8.2,8.300,0.1,0.167
'260',23,01,1993,2960.0,5.3,11.6,0.880714,6.2,0.600,0.4,0.079
'260',24,01,1993,2150.0,4.7,12.0,0.746003,9.8,3.100,0.3,0.096
'260',25,01,1993,1700.0,0.9,7.1,0.555978,6.7,3.400,0.2,0.142
'260',26,01,1993,1160.0,0.9,5.6,0.630000,5.7,2.800,0.1,0.188
'260',27,01,1993,2470.0,1.4,6.1,0.594122,2.6,0.000,0.3,0.000
'260',28,01,1993,1750.0,2.6,9.3,0.860306,3.6,3.300,0.2,0.183
'260',29,01,1993,570.0,-0.1,8.6,0.738972,3.6,1.100,0.1,0.117
'260',30,01,1993,2560.0,-1.2,3.9,0.571987,3.6,0.000,0.3,0.000
'260',31,01,1993,3500.0,-2.3,3.9,0.605155,1.5,0.000,0.4,0.000
'260',01,02,1993,6690.0,-5.1,1.5,0.467693,3.1,0.000,0.7,0.000
'260',02,02,1993,800.0,0.4,3.1,0.680723,3.1,0.100,0.1,0.042
'260',03,02,1993,1130.0,-0.1,3.7,0.681402,2.1,0.000,0.1,0.000
'260',04,02,1993,1830.0,-1.2,0.9,0.602468,2.1,0.000,0.2,0.000
'260',05,02,1993,1020.0,0.2,4.0,0.671775,3.6,0.000,0.1,0.000
'260',06,02,1993,990.0,3.1,7.0,0.837426,3.1,1.100,0.1,0.179
'260',07,02,1993,1540.0,3.9,7.1,0.837544,1.5,0.100,0.2,0.042
'260',08,02,1993,1860.0,3.6,6.3,0.824943,2.6,0.000,0.2,0.000
'260',09,02,1993,1500.0,3.6,5.5,0.833390,3.6,0.100,0.2,0.004
'260',10,02,1993,2430.0,1.9,3.9,0.709666,3.1,0.000,0.3,0.000
'260',11,02,1993,1050.0,-0.3,2.1,0.587764,3.1,0.000,0.1,0.000
'260',12,02,1993,5930.0,-1.4,5.7,0.614519,1.5,0.000,0.7,0.000
'260',13,02,1993,3620.0,-2.1,1.1,0.592491,1.5,0.000,0.4,0.000
'260',14,02,1993,1650.0,-2.3,0.0,0.541928,2.6,0.000,0.2,0.000
'260',15,02,1993,2480.0,-0.5,3.3,0.611826,2.6,0.000,0.3,0.000
'260',16,02,1993,4810.0,0.4,8.6,0.733432,2.6,1.200,0.6,0.117
'260',17,02,1993,1960.0,3.5,8.4,0.835066,4.1,2.700,0.3,0.263
'260',18,02,1993,2390.0,2.6,7.9,0.790772,4.1,1.400,0.3,0.071
'260',19,02,1993,4750.0,3.2,7.9,0.690663,7.7,1.100,0.6,0.088
'260',20,02,1993,4950.0,1.7,7.5,0.656368,5.7,3.000,0.6,0.108
'260',21,02,1993,5440.0,1.0,6.3,0.591783,7.7,2.100,0.7,0.150
'260',22,02,1993,7420.0,-0.9,5.2,0.557322,3.6,2.700,0.8,0.167
'260',23,02,1993,10620.0,-2.9,3.6,0.392951,3.1,0.000,1.1,0.000
'260',24,02,1993,5510.0,-3.2,1.6,0.498318,2.1,0.000,0.6,0.000
'260',25,02,1993,2500.0,-0.8,3.8,0.593291,2.6,0.000,0.3,0.000
'260',26,02,1993,1780.0,1.5,3.8,0.693828,3.1,4.700,0.2,0.583
'260',27,02,1993,8280.0,-2.2,4.7,0.453697,4.6,1.600,0.9,0.142
'260',28,02,1993,6870.0,-3.9,4.3,0.535318,2.6,4.500,0.7,0.200
'260',01,03,1993,6450.0,-3.7,4.1,0.494393,5.7,0.000,0.7,0.000
'260',02,03,1993,9420.0,-0.1,6.1,0.486329,8.2,0.000,1.1,0.000
'260',03,03,1993,10640.0,-2.8,2.5,0.423152,4.6,0.000,1.1,0.000
'260',04,03,1993,3410.0,-2.5,3.1,0.479270,2.1,0.000,0.4,0.000
'260',05,03,1993,3910.0,-2.3,5.5,0.548877,2.6,1.800,0.5,0.133
'260',06,03,1993,3590.0,5.0,8.9,0.875182,3.6,0.300,0.5,0.021
'260',07,03,1993,3520.0,3.4,7.5,0.795405,2.6,0.100,0.5,0.004
'260',08,03,1993,13300.0,0.3,9.1,0.586413,4.1,0.000,1.6,0.000
'260',09,03,1993,13330.0,-1.3,8.3,0.479685,4.1,0.000,1.6,0.000
'260',10,03,1993,10040.0,0.6,12.2,0.695319,2.6,0.000,1.3,0.000
'260',11,03,1993,9140.0,2.8,13.8,0.780077,2.1,0.000,1.2,0.000
'260',12,03,1993,12070.0,0.6,16.1,0.694132,2.1,0.000,1.7,0.000
'260',13,03,1993,12960.0,1.5,16.2,0.657270,2.1,0.000,1.8,0.000
'260',14,03,1993,11130.0,0.2,17.3,0.791198,2.1,0.000,1.6,0.000
'260',15,03,1993,13250.0,3.9,17.6,0.844510,2.1,0.000,2.0,0.000
'260',16,03,1993,4220.0,7.2,12.7,0.995929,5.7,0.000,0.6,0.000
'260',17,03,1993,8700.0,7.3,13.7,0.995293,6.7,3.000,1.3,0.179
'260',18,03,1993,4060.0,5.1,12.3,0.835999,5.7,0.200,0.6,0.042
'260',19,03,1993,14520.0,1.2,10.7,0.627937,3.1,0.000,1.9,0.000
'260',20,03,1993,14980.0,-1.4,12.2,0.627021,2.6,0.000,1.9,0.000
'260',21,03,1993,12860.0,0.6,15.3,0.737687,2.6,0.000,1.8,0.000
'260',22,03,1993,5630.0,6.7,14.1,1.031090,4.1,3.600,0.8,0.229
'260',23,03,1993,11810.0,1.9,9.5,0.625368,4.6,0.000,1.6,0.000
'260',24,03,1993,14350.0,0.0,9.9,0.549296,3.1,0.000,1.8,0.000
'260',25,03,1993,10410.0,1.5,8.8,0.589514,4.6,0.400,1.3,0.021
'260',26,03,1993,14000.0,-0.2,10.1,0.505927,4.1,0.100,1.8,0.021
'260',27,03,1993,16260.0,-4.5,8.3,0.407051,2.1,0.000,1.9,0.000
'260',28,03,1993,19020.0,-3.6,7.8,0.414673,3.6,0.000,2.2,0.000
'260',29,03,1993,18290.0,-2.9,9.6,0.363256,3.1,0.000,2.2,0.000
'260',30,03,1993,15400.0,-0.9,13.0,0.439409,4.1,0.000,2.1,0.000
'260',31,03,1993,5150.0,7.2,14.9,0.941630,3.1,1.300,0.8,0.263
'260',01,04,1993,3510.0,6.6,13.8,1.051693,2.6,2.300,0.5,0.121
'260',02,04,1993,6140.0,0.4,10.1,0.694488,3.1,0.000,0.8,0.000
'260',03,04,1993,16400.0,-0.4,12.3,0.639955,2.1,0.000,2.2,0.000
'260',04,04,1993,6120.0,1.3,8.5,0.690556,3.1,0.700,0.8,0.083
'260',05,04,1993,5840.0,0.5,10.3,0.692415,5.7,7.200,0.8,0.217
'260',06,04,1993,5160.0,6.4,10.6,0.876749,6.7,5.200,0.7,0.296
'260',07,04,1993,4090.0,2.5,9.2,0.786728,3.1,0.000,0.6,0.000
'260',08,04,1993,8540.0,-0.1,10.1,0.618419,2.1,0.000,1.1,0.000
'260',09,04,1993,14330.0,2.3,13.1,0.638069,5.1,0.500,2.0,0.050
'260',10,04,1993,14210.0,4.1,12.9,0.770312,3.1,0.000,2.0,0.000
'260',11,04,1993,5410.0,4.3,10.9,0.930964,3.1,1.500,0.7,0.117
'260',12,04,1993,7920.0,3.6,12.5,0.876287,2.1,4.500,1.1,0.150
'260',13,04,1993,11950.0,1.6,13.0,0.814645,2.1,0.000,1.6,0.000
'260',14,04,1993,14960.0,3.7,14.3,0.883141,2.6,0.000,2.1,0.000
'260',15,04,1993,15370.0,3.1,14.4,0.865551,3.1,0.000,2.2,0.000
'260',16,04,1993,17470.0,4.3,15.7,0.834475,3.1,0.000,2.5,0.000
'260',17,04,1993,2910.0,9.4,11.3,1.127771,4.6,2.200,0.4,0.117
'260',18,04,1993,5500.0,7.4,13.3,1.128311,5.5,14.000,0.8,0.554
'260',19,04,1993,3150.0,7.3,12.0,1.085079,3.1,4.200,0.5,0.312
'260',20,04,1993,21830.0,7.3,21.8,1.052441,3.1,0.000,3.6,0.000
'260',21,04,1993,14950.0,7.0,21.0,1.130106,2.6,0.000,2.4,0.000
'260',22,04,1993,8470.0,6.3,18.0,1.122738,2.6,2.600,1.3,0.108
'260',23,04,1993,18860.0,9.2,19.2,1.136537,4.1,0.000,3.1,0.000
'260',24,04,1993,18930.0,12.8,21.8,1.167651,4.1,0.000,3.3,0.000
'260',25,04,1993,19450.0,9.8,20.2,1.143684,2.6,0.000,3.2,0.000
'260',26,04,1993,19620.0,10.3,20.9,1.169374,3.1,0.000,3.2,0.000
'260',27,04,1993,23180.0,10.5,23.6,1.022891,5.7,0.000,3.9,0.000
'260',28,04,1993,22310.0,10.1,26.9,0.957731,5.7,0.000,4.0,0.000
'260',29,04,1993,21830.0,13.6,26.8,0.946678,5.7,0.000,4.0,0.000
'260',30,04,1993,21440.0,13.9,26.9,1.008732,3.6,0.000,3.9,0.000
'260',01,05,1993,21140.0,9.5,23.4,1.233544,3.1,0.000,3.6,0.000
'260',02,05,1993,3730.0,9.0,13.0,1.168652,3.6,0.000,0.6,0.000
'260',03,05,1993,13390.0,3.5,12.5,0.686064,4.1,0.000,1.9,0.000
'260',04,05,1993,22180.0,0.2,13.9,0.611643,3.1,0.000,3.1,0.000
'260',05,05,1993,21700.0,2.3,13.6,0.621518,4.6,0.000,3.1,0.000
'260',06,05,1993,23100.0,3.2,15.3,0.729356,5.7,0.000,3.3,0.000
'260',07,05,1993,7460.0,7.3,14.7,0.996378,6.2,0.000,1.1,0.000
'260',08,05,1993,17320.0,9.3,19.4,1.055253,6.7,0.000,2.8,0.000
'260',09,05,1993,19550.0,8.8,25.3,1.111945,5.1,9.900,3.3,0.192
'260',10,05,1993,22000.0,11.6,25.2,1.335708,4.1,1.500,3.9,0.050
'260',11,05,1993,24490.0,13.3,26.1,1.238152,5.1,0.000,4.5,0.000
'260',12,05,1993,23310.0,12.7,25.2,1.211224,3.6,0.000,4.2,0.000
'260',13,05,1993,5820.0,9.9,15.8,1.303559,3.6,0.400,0.9,0.104
'260',14,05,1993,7150.0,9.0,14.4,1.135936,3.1,0.000,1.1,0.000
'260',15,05,1993,12000.0,6.1,15.3,0.823591,4.1,0.800,1.8,0.079
'260',16,05,1993,22330.0,5.1,18.9,0.825383,4.1,0.000,3.5,0.000
'260',17,05,1993,25620.0,10.1,24.5,0.884681,6.2,0.000,4.5,0.000
'260',18,05,1993,11120.0,14.5,21.9,1.571176,2.6,5.300,1.9,0.125
'260',19,05,1993,16860.0,11.0,21.2,1.499794,3.1,0.200,2.8,0.017
