* Project:       zegveld
* File content:  specified output data of SWAP
* File name:     .\result_output.csv
* Model version: Swap 4.2.0
* Generated at:  2024-08-01 16:00:34
* (d),(cm),(cm),(kg/ha),(kg/ha),(kg/ha),(kg/ha)
DATETIME,TREDDRY,TREDWET,PGRASSDM,GRASSDM,PMOWDM,MOWDM
1993-01-01,0.,0.,700.00000,700.00000,0.,0.
1993-01-02,0.,0.,700.00000,700.00000,0.,0.
1993-01-03,0.,0.,700.00000,700.00000,0.,0.
1993-01-04,0.,0.,700.00000,700.00000,0.,0.
1993-01-05,0.,.00061,700.00000,700.00000,0.,0.
1993-01-06,0.,0.,700.00000,700.00000,0.,0.
1993-01-07,0.,0.,700.00000,700.00000,0.,0.
1993-01-08,0.,.00065,700.00000,700.00000,0.,0.
1993-01-09,0.,.00062,700.00000,700.00000,0.,0.
1993-01-10,0.,.00226,700.00000,700.00000,0.,0.
1993-01-11,0.,.01068,700.00000,700.00000,0.,0.
1993-01-12,0.,.01023,700.00000,700.00000,0.,0.
1993-01-13,0.,.00940,700.00000,700.00000,0.,0.
1993-01-14,0.,0.,700.00000,700.00000,0.,0.
1993-01-15,0.,0.,700.00000,700.00000,0.,0.
1993-01-16,0.,0.,700.00000,700.00000,0.,0.
1993-01-17,0.,0.,700.00000,700.00000,0.,0.
1993-01-18,0.,0.,700.00000,700.00000,0.,0.
1993-01-19,0.,0.,700.00000,700.00000,0.,0.
1993-01-20,0.,.00020,700.00000,700.00000,0.,0.
1993-01-21,0.,.02002,700.00000,700.00000,0.,0.
1993-01-22,0.,.03546,700.00000,700.00000,0.,0.
1993-01-23,0.,.00592,700.00000,700.00000,0.,0.
1993-01-24,0.,.01696,700.00000,700.00000,0.,0.
1993-01-25,0.,.01104,700.00000,700.00000,0.,0.
1993-01-26,0.,.00381,700.00000,700.00000,0.,0.
1993-01-27,0.,0.,700.00000,700.00000,0.,0.
1993-01-28,0.,5.40260E-05,700.00000,700.00000,0.,0.
1993-01-29,0.,.00026,700.00000,700.00000,0.,0.
1993-01-30,0.,0.,700.00000,700.00000,0.,0.
1993-01-31,0.,0.,700.00000,700.00000,0.,0.
1993-02-01,0.,0.,700.00000,700.00000,0.,0.
1993-02-02,0.,0.,700.00000,700.00000,0.,0.
1993-02-03,0.,0.,700.00000,700.00000,0.,0.
1993-02-04,0.,0.,700.00000,700.00000,0.,0.
1993-02-05,0.,0.,700.00000,700.00000,0.,0.
1993-02-06,0.,0.,700.00000,700.00000,0.,0.
1993-02-07,0.,0.,700.00000,700.00000,0.,0.
1993-02-08,0.,0.,700.00000,700.00000,0.,0.
1993-02-09,0.,0.,702.29242,701.81712,0.,0.
1993-02-10,0.,0.,707.92864,706.66747,0.,0.
1993-02-11,0.,0.,709.57148,707.95216,0.,0.
1993-02-12,0.,0.,722.72581,719.56118,0.,0.
1993-02-13,0.,0.,722.72581,719.56118,0.,0.
1993-02-14,0.,0.,722.72581,719.56118,0.,0.
1993-02-15,0.,0.,722.72581,719.56118,0.,0.
1993-02-16,0.,0.,722.72581,719.56118,0.,0.
1993-02-17,0.,.00108,722.72581,719.56118,0.,0.
1993-02-18,0.,.00115,722.72581,719.56118,0.,0.
1993-02-19,0.,.00407,725.05140,720.82778,0.,0.
1993-02-20,0.,.00770,731.74136,723.86301,0.,0.
1993-02-21,0.,.00901,742.97192,729.95959,0.,0.
1993-02-22,0.,.00485,754.57636,735.41000,0.,0.
1993-02-23,0.,0.,759.24665,739.10163,0.,0.
1993-02-24,0.,0.,759.24665,739.10163,0.,0.
1993-02-25,0.,0.,759.24665,739.10163,0.,0.
1993-02-26,0.,0.,759.24665,739.10163,0.,0.
1993-02-27,0.,.00429,759.24665,739.10163,0.,0.
1993-02-28,0.,.00063,759.24665,739.10163,0.,0.
1993-03-01,0.,0.,759.24665,739.10163,0.,0.
1993-03-02,0.,0.,759.24665,739.10163,0.,0.
1993-03-03,0.,0.,759.24665,739.10163,0.,0.
1993-03-04,0.,0.,759.24665,739.10163,0.,0.
1993-03-05,0.,.00019,759.24665,739.10163,0.,0.
1993-03-06,0.,0.,759.24665,739.10163,0.,0.
1993-03-07,0.,0.,759.24665,739.10163,0.,0.
1993-03-08,0.,0.,759.24665,739.10163,0.,0.
1993-03-09,0.,0.,759.24665,739.10163,0.,0.
1993-03-10,0.,0.,762.40038,741.40922,0.,0.
1993-03-11,0.,0.,774.76386,751.09188,0.,0.
1993-03-12,0.,0.,796.32353,768.22645,0.,0.
1993-03-13,0.,0.,810.98093,779.77766,0.,0.
1993-03-14,0.,0.,817.89851,785.06195,0.,0.
1993-03-15,0.,0.,834.17837,797.86275,0.,0.
1993-03-16,0.,0.,848.12919,808.69019,0.,0.
